student_input,session_context,label,intent_name
"Sorry, I zoned out. What did you just say?","topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:70%,While Loops:86%,Lists&Tuples:60% | emotion:focused | pace:slow | slides:41,42,43",4,Repeat/clarification
My head hurts from all this information.,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:49%,Boolean Logic:41%,If/Else Conditionals:60% | emotion:neutral | pace:fast | slides:35,36,37",2,Emotional-State
Can you recommend a good movie to watch?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:61%,Lambda Functions:77%,Error Handling:58% | emotion:engaged | pace:fast | slides:45,46,47",1,Off-Topic Question
TELL ME MORE ABOUT LISTS AND TUPLES,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:97%,For Loops:90%,While Loops:96% | emotion:engaged | pace:fast | slides:15,16,17",0,On-Topic Question
i need a 5 minute break.,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:54%,Dictionaries:48%,Sets:91% | emotion:focused | pace:slow | slides:20,21,22",3,Pace-Related
i feel anxious about falling behind.,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:36%,Arithmetic Operators:61%,Boolean Logic:34% | emotion:anxious | pace:normal | slides:19,20,21",2,Emotional-State
Can you re-run that example?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:34%,Dictionaries:98%,Sets:86% | emotion:excited | pace:moderate | slides:20,21,22",4,Repeat/clarification
"Wait, what was that?","topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:89%,Lists&Tuples:59%,Dictionaries:66% | emotion:excited | pace:dragging | slides:37,38,39",4,Repeat/clarification
I need a recap of what you just said.,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:91%,For Loops:94%,While Loops:33% | emotion:bored | pace:rushed | slides:38,39,40",4,Repeat/clarification
You are going way too fast.,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:80%,Arithmetic Operators:76%,Boolean Logic:49% | emotion:neutral | pace:normal | slides:26,27,28",3,Pace-Related
"You said I scored low on Boolean Logic, does that affect how I should approach While Loops?","topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:92%,If/Else Conditionals:39%,For Loops:73% | emotion:focused | pace:normal | slides:21,22,23",0,On-Topic Question
I need a recap of what you just said.,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:36%,Sets:53%,Functions&Scope:85% | emotion:frustrated | pace:dragging | slides:58,59,60",4,Repeat/clarification
Can we sip this?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:46%,Error Handling:35%,Classes&OOP:51% | emotion:focused | pace:moderate | slides:6,7,8",3,Pace-Related
