student_input,session_context,label,intent_name
Can you re-run that example?,,4,Repeat/clarification
im exhausted,,2,Emotional-State
do u play games,,1,Off-Topic Question
can u show another example,,0,On-Topic Question
"Hold on, I'm still writing notes.",,3,Pace-Related
let's goooo,,2,Emotional-State
"I lost you there, can you start over on that point?",,4,Repeat/clarification
i wasn't listening,,4,Repeat/clarification
Let me see that slide again.,,4,Repeat/clarification
slow down im typing,,3,Pace-Related
dont i get it,,0,On-Topic Question
what?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:61%,Boolean Logic:82%,If/Else Conditionals:78% | emotion:excited | pace:rushed | slides:30,31,32",4,Repeat/clarification
skip this,,3,Pace-Related
what's 2+2,,1,Off-Topic Question
run that back,,4,Repeat/clarification
i hate this,,2,Emotional-State
"I lost you ther, ccan you start over on hat ponit?",,4,Repeat/clarification
"I saw someone using Classes and OOP, does what it do!!",,1,Off-Topic Question
Is File Handling related to what we are doing now,,1,Off-Topic Question
can u show another example,,0,On-Topic Question
smh,,2,Emotional-State
This is really starting to make sense!,,2,Emotional-State
yay i did it,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:confused | pace:slow | slides:31,32,33",2,Emotional-State
Is Variables and Data Types used a lot in real projects?,,0,On-Topic Question
what was the last thing u said,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:84%,Lambda Functions:97%,Error Handling:44% | emotion:anxious | pace:slow | slides:39,40,41",4,Repeat/clarification
why do we do this,,0,On-Topic Question
why do we do this,,0,On-Topic Question
smh!!,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:95%,Dictionaries:63%,Sets:95% | emotion:bored | pace:normal | slides:19,20,21",2,Emotional-State
"right I understood Sets but Functions and Scope feels completely different, why?","topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:44%,Dictionaries:94%,Sets:94% | emotion:anxious | pace:rushed | slides:52,53,54",0,On-Topic Question
yay i did it,,2,Emotional-State
DO WE NEED TO KNOWW ABOUT BOOLEAN LOGIC,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:76% | emotion:neutral | pace:fast | slides:30,31,32",1,Off-Topic Question
actually how does that work,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:bored | pace:rushed | slides:29,30,31",0,On-Topic Question
HOL UP,,3,Pace-Related
slow,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:bored | pace:dragging | slides:49,50,51",3,Pace-Related
smh?,,2,Emotional-State
I don't get the part about Dictionaries?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:98%,While Loops:56%,Lists&Tuples:77% | emotion:anxious | pace:steady | slides:9,10,11",0,On-Topic Question
my eyes hurt,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:frustrated | pace:fast | slides:33,34,35",2,Emotional-State
"I saw someone using Functions and Scope, what does it do?",,1,Off-Topic Question
Go back that last point please?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:93%,Error Handling:45%,Classes&OOP:53% | emotion:tired | pace:fast | slides:53,54,55",4,Repeat/clarification
skip to the next part,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:64%,Strings&Formatting:80%,Arithmetic Operators:30% | emotion:confused | pace:fast | slides:23,24,25",3,Pace-Related
i hate this,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:73%,Sets:66%,Functions&Scope:56% | emotion:engaged | pace:moderate | slides:46,47,48",2,Emotional-State
how do i use For Loops,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:86%,Boolean Logic:51%,If/Else Conditionals:45% | emotion:engaged | pace:dragging | slides:48,49,50",0,On-Topic Question
"Since I did well on Variables and Data Types, is Strings and Formatting going to be similar?",,0,On-Topic Question
"I saw someone using Lists and Tuples, what does it do?","topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:72%,Boolean Logic:70%,If/Else Conditionals:76% | emotion:focused | pace:fast | slides:35,36,37",1,Off-Topic Question
basically slow down im typing,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:31%,Lambda Functions:51%,Error Handling:72% | emotion:engaged | pace:normal | slides:27,28,29",3,Pace-Related
i feel smart,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:47%,Boolean Logic:50%,If/Else Conditionals:42% | emotion:bored | pace:steady | slides:25,26,27",2,Emotional-State
I feel like I'm not making any progress.,,2,Emotional-State
Is Classes and OOP related to what we are doing now?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:66%,Functions&Scope:82%,Lambda Functions:58% | emotion:neutral | pace:moderate | slides:17,18,19",1,Off-Topic Question
can u redo,,4,Repeat/clarification
what dos line do!!,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:43%,While Loops:54%,Lists&Tuples:90% | emotion:overwhelmed | pace:dragging | slides:33,34,35",0,On-Topic Question
Can you show that example one more time?,,4,Repeat/clarification
Is Error Handling (Try/Except) something I'll use every day?,,0,On-Topic Question
i feel so dumb,,2,Emotional-State
I feel like I'm not making any progress.,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:70%,Sets:94%,Functions&Scope:71% | emotion:anxious | pace:slow | slides:20,21,22",2,Emotional-State
so speed it up?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:91%,Strings&Formatting:84% | emotion:overwhelmed | pace:moderate | slides:27,28,29",3,Pace-Related
i feel smart,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:75%,Arithmetic Operators:44%,Boolean Logic:100% | emotion:anxious | pace:fast | slides:13,14,15",2,Emotional-State
"Hold on, I'm still writing notes.",,3,Pace-Related
give me an example of Dictionaries!!,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:62%,While Loops:95%,Lists&Tuples:96% | emotion:tired | pace:slow | slides:45,46,47",0,On-Topic Question
can we talk about something else,,1,Off-Topic Question
how does Lambda Functions work!!,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:84%,Sets:73%,Functions&Scope:33% | emotion:anxious | pace:dragging | slides:16,17,18",0,On-Topic Question
what's the difference,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:52%,Error Handling:38%,Classes&OOP:44% | emotion:overwhelmed | pace:slow | slides:34,35,36",0,On-Topic Question
yo what?,,2,Emotional-State
Is Dictionaries something I'll use every day?,,0,On-Topic Question
my head hurts from all this information.,,2,Emotional-State
can you write an essay for me,,1,Off-Topic Question
can we stop for sec a,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:66% | emotion:overwhelmed | pace:rushed | slides:58,59,60",3,Pace-Related
what is For Loops,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:37%,Boolean Logic:57%,If/Else Conditionals:45% | emotion:frustrated | pace:moderate | slides:5,6,7",0,On-Topic Question
skip this,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:80%,Error Handling:34%,Classes&OOP:39% | emotion:neutral | pace:dragging | slides:6,7,8",3,Pace-Related
"I think I got this, let's speed up",,3,Pace-Related
i need a minute,,3,Pace-Related
"I'm confused, I feel so dumb right now.","topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:66%,Dictionaries:55%,Sets:38% | emotion:tired | pace:dragging | slides:27,28,29",2,Emotional-State
"I saw someone using File Handling, what does it do?",,1,Off-Topic Question
lowkey confused,,2,Emotional-State
wait what?,,4,Repeat/clarification
one more time,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:64%,Error Handling:79%,Classes&OOP:94% | emotion:neutral | pace:steady | slides:26,27,28",4,Repeat/clarification
"i saw someone using classes and oop, what does it do?","topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:62%,Sets:100%,Functions&Scope:89% | emotion:excited | pace:dragging | slides:49,50,51",1,Off-Topic Question
"I saw someone using File Handling, what does it do?","topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:92%,Dictionaries:66%,Sets:97% | emotion:frustrated | pace:rushed | slides:4,5,6",1,Off-Topic Question
Can you adjust the speed a bit?,,3,Pace-Related
what should i eat,,1,Off-Topic Question
"I saw someone using Lambda Functions, what does it do?","topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:38%,While Loops:30%,Lists&Tuples:47% | emotion:engaged | pace:normal | slides:5,6,7",1,Off-Topic Question
Is theer a different way to wwrite Lisst andd Tuples?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:80%,For Loops:74%,While Loops:92% | emotion:focused | pace:rushed | slides:27,28,29",0,On-Topic Question
i quit,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:52%,Error Handling:84%,Classes&OOP:67% | emotion:confused | pace:moderate | slides:55,56,57",2,Emotional-State
"I think I got this, let's speed up.",,3,Pace-Related
can u repeat,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:94%,If/Else Conditionals:57%,For Loops:48% | emotion:neutral | pace:rushed | slides:36,37,38",4,Repeat/clarification
