student_input,session_context,label,intent_name
can u repeat,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:75%,Lambda Functions:75%,Error Handling:49% | emotion:confused | pace:steady | slides:31,32,33",4,Repeat/clarification
bruh,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:93%,Error Handling:84%,Classes&OOP:39% | emotion:excited | pace:slow | slides:43,44,45",2,Emotional-State
Is File Handling related to what we are doing now?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:70%,Lambda Functions:82%,Error Handling:93% | emotion:anxious | pace:fast | slides:32,33,34",1,Off-Topic Question
more examples pls,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:30%,For Loops:100%,While Loops:33% | emotion:tired | pace:rushed | slides:18,19,20",0,On-Topic Question
hurry up,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:54% | emotion:frustrated | pace:steady | slides:21,22,23",3,Pace-Related
basically this is too hard,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:77%,Lambda Functions:43%,Error Handling:46% | emotion:focused | pace:fast | slides:54,55,56",2,Emotional-State
say what,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:99%,Boolean Logic:79%,If/Else Conditionals:69% | emotion:anxious | pace:rushed | slides:27,28,29",4,Repeat/clarification
lost u there,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:42%,Sets:95%,Functions&Scope:67% | emotion:excited | pace:fast | slides:42,43,44",4,Repeat/clarification
"Wait, what was that?","topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:50%,Strings&Formatting:53% | emotion:neutral | pace:rushed | slides:28,29,30",4,Repeat/clarification
can we stop for a sec,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:39%,Dictionaries:65%,Sets:97% | emotion:engaged | pace:fast | slides:49,50,51",3,Pace-Related
"Since I did well on Error Handling (Try/Except), is Classes and OOP going to be similar!!","topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:90%,Lambda Functions:33%,Error Handling:48% | emotion:confused | pace:slow | slides:45,46,47",0,On-Topic Question
