student_input,session_context,label,intent_name
wut was the last thing u said,"topic:File Handling | prev:Classes and OOP | ability:N/A | emotion:overwhelmed | pace:slow | slides:18,19,20",4,Repeat/clarification
i love music,"topic:While Loops | prev:For Loops | ability:N/A | emotion:frustrated | pace:dragging | slides:48,49,50",1,Off-Topic Question
whats the pt of abstract class,"topic:Error Handling (Try/Except) | prev:Lambda Functions | ability:N/A | emotion:engaged | pace:steady | slides:42,43,44",0,On-Topic Question
i dont get it can we speed up?,"topic:For Loops | prev:If/Else Conditionals | ability:N/A | emotion:frustrated | pace:fast | slides:19,20,21",3,Pace-Related
show me how 2 do it,"topic:Error Handling (Try/Except) | prev:Lambda Functions | ability:N/A | emotion:anxious | pace:normal | slides:50,51,52",0,On-Topic Question
i didnt hear u,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:excited | pace:steady | slides:33,34,35",4,Repeat/clarification
whats the use of with statement,"topic:File Handling | prev:Classes and OOP | ability:N/A | emotion:anxious | pace:moderate | slides:48,49,50",0,On-Topic Question
can u rephrase?,"topic:Boolean Logic | prev:Arithmetic Operators | ability:N/A | emotion:anxious | pace:moderate | slides:5,6,7",4,Repeat/clarification
i no this already,"topic:Lambda Functions | prev:Functions and Scope | ability:N/A | emotion:excited | pace:rushed | slides:36,37,38",3,Pace-Related
im so lost in loops,"topic:Dictionaries | prev:Lists and Tuples | ability:N/A | emotion:excited | pace:slow | slides:50,51,52",2,Emotional-State
wut did u mean by that?,"topic:Dictionaries | prev:Lists and Tuples | ability:N/A | emotion:excited | pace:normal | slides:13,14,15",4,Repeat/clarification
explain async/await,"topic:Error Handling (Try/Except) | prev:Lambda Functions | ability:N/A | emotion:neutral | pace:fast | slides:23,24,25",0,On-Topic Question
i dont no wut to do,"topic:Strings and Formatting | prev:Variables and Data Types | ability:N/A | emotion:frustrated | pace:moderate | slides:19,20,21",1,Off-Topic Question
can we speed up the lesson?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:confused | pace:steady | slides:35,36,37",3,Pace-Related
can we slow down the video?,"topic:Lists and Tuples | prev:While Loops | ability:N/A | emotion:neutral | pace:fast | slides:21,22,23",3,Pace-Related
i just want 2 give up,"topic:Dictionaries | prev:Lists and Tuples | ability:N/A | emotion:neutral | pace:fast | slides:41,42,43",2,Emotional-State
too fast,"topic:For Loops | prev:If/Else Conditionals | ability:N/A | emotion:focused | pace:fast | slides:46,47,48",3,Pace-Related
HOW DO I IMPORT CUSTOM MODULE,"topic:Arithmetic Operators | prev:Strings and Formatting | ability:N/A | emotion:focused | pace:steady | slides:35,36,37",0,On-Topic Question
wut didnt i get it?,"topic:Lambda Functions | prev:Functions and Scope | ability:N/A | emotion:bored | pace:moderate | slides:22,23,24",4,Repeat/clarification
can we move on to the next topic?,"topic:Functions and Scope | prev:Sets | ability:N/A | emotion:confused | pace:fast | slides:29,30,31",3,Pace-Related
whyyyyy,"topic:Boolean Logic | prev:Arithmetic Operators | ability:N/A | emotion:excited | pace:moderate | slides:46,47,48",2,Emotional-State
cant keep up,"topic:Functions and Scope | prev:Sets | ability:N/A | emotion:overwhelmed | pace:dragging | slides:18,19,20",3,Pace-Related
